peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      3973     14117      1260         1       200
      3977     14116      1210         1       200
      3985     14117      1180         1       200
      3981     14130     71165         2       200
      3989     14115      1230         1       200
      3993     14118      1180         2       200
      3997     14120      1235         1       200
      4001     14117      1245         1       200
      4005     14119      3140         2       200
      4009     14117      1230         1       200
      4013     14116      1220         1       200
      4017     14116      1235         2       200
      4021     14117      1315         1       200
      4025     14117      1255         1       200
      4029     14125     46045         2       200
      4033     14125      1825         1       200
      4037     14117      1125         1       200
      4045     14117      1185         1       200
      4041     14117      1105         2       200
      4049     14117      1195         1       200
      4057     14118      1225         1       200
      4053     14118      2755         2       200
      4061     14120      1300         1       200
      4065     14116       995         2       200
      4069     14117      1245         1       200
      4073     14116      1275         1       200
      4077     14124     36340         2       200
      4081     14128      1965         1       200
      4085     14122      1155         2       200
      4093     14120      1125         1       200
      4089     14120      1135         1       200
      4097     14118      2220         2       200
      4105     14117      1195         1       200
      4101     14118      1180         1       200
      4109     14117      1165         2       200
      4117     14120      1265         1       200
      4113     14120      1200         1       200
      4121     14122     28855         2       200
      4129     14118      1240         1       200
      4125     14117      1405         1       200
      4133     14116       870         2       200
      4141     14117      1165         1       200
      4137     14117      1180         1       200
      4145     14118      2310         2       200
      4149     14120      1190         1       200
      4153     14120      1200         1       200
      4157     14117       925         2       200
      4161     14118      1230         1       200
      4165     14117      1250         1       200
      4169     14122     21870         2       200
      4173     14117      1235         1       200
      4177     14116      1245         1       200
      4181     14118      1560         2       200
